1,291,3.96,Arts
2,112,3.63,Law
3,715,2.63,Medicine
4,170,2.81,Computer Science
5,599,2.48,Engineering
6,631,3.78,Law
7,610,3.83,Computer Science
8,240,2.84,Computer Science
9,337,3.31,Business
10,138,2.33,Computer Science
11,594,2.87,Mathematics
12,236,3.26,Law
13,648,2.77,Engineering
14,794,2.72,Arts
15,3,2,Business
16,571,3.61,Computer Science
17,116,3.78,Law
18,472,3.94,Mathematics
19,131,3.44,Mathematics
20,934,3.1,Mathematics
21,898,2.54,Medicine
22,483,4,Business
23,401,3.18,Engineering
24,201,3.36,Medicine
25,292,3.36,Engineering
26,342,3.69,Medicine
27,991,2.02,Arts
28,610,2.44,Engineering
29,216,3.33,Medicine
30,636,3.79,Mathematics
31,585,3.37,Engineering
32,366,2.83,Business
33,890,2.72,Engineering
34,642,3.48,Law
35,469,3.48,Engineering
36,418,3.21,Medicine
37,27,2.58,Engineering
38,677,3.85,Arts
39,455,3.1,Computer Science
40,918,3.58,Business
41,580,2.43,Law
42,14,2.69,Mathematics
43,98,3.75,Medicine
44,279,2.1,Mathematics
45,940,3.02,Mathematics
46,490,2.96,Engineering
47,985,3.5,Engineering
48,961,2.56,Engineering
49,883,2.44,Business
50,759,3.85,Law
51,624,3.14,Computer Science
52,207,2.21,Arts
53,864,2.39,Law
54,846,4,Arts
55,233,2.39,Mathematics
56,573,3.22,Law
57,597,2.84,Medicine
58,695,3.77,Computer Science
59,239,3.51,Computer Science
60,250,3.19,Business
61,583,2.02,Law
62,740,3.76,Engineering
63,597,2.89,Computer Science
64,306,3.86,Law
65,1000,2.99,Engineering
66,908,3.39,Business
67,463,2.14,Mathematics
68,783,3.49,Mathematics
69,913,2.68,Law
70,802,2.7,Law
71,236,2.24,Medicine
72,291,2.29,Law
73,39,2.37,Medicine
74,998,2.66,Engineering
75,718,3.78,Mathematics
76,183,2.74,Engineering
77,699,3.45,Mathematics
78,645,2.17,Mathematics
79,30,3.18,Computer Science
80,388,2.96,Business
81,767,3.96,Medicine
82,143,3.69,Mathematics
83,615,2.91,Computer Science
84,419,3.55,Arts
