1,S00001,9,8,1
2,S00002,8,1,2
3,S00003,1,9,3
4,S00004,10,6,4
5,S00005,10,9,5
6,S00006,2,2,6
7,S00007,3,3,7
8,S00008,5,1,8
9,S00009,5,5,9
10,S00010,10,2,10
11,S00011,8,1,11
12,S00012,2,9,12
13,S00013,2,9,13
14,S00014,8,6,14
15,S00015,1,8,15
16,S00016,9,9,16
17,S00017,2,5,17
18,S00018,5,2,18
19,S00019,3,4,19
20,S00020,5,3,20
21,S00021,8,10,21
22,S00022,8,7,22
23,S00023,6,10,23
24,S00024,9,10,24
25,S00025,7,10,25
26,S00026,2,8,26
27,S00027,1,5,27
28,S00028,8,2,28
29,S00029,1,9,29
30,S00030,8,1,30
31,S00031,9,5,31
32,S00032,1,3,32
33,S00033,7,8,33
34,S00034,5,8,34
35,S00035,8,1,35
36,S00036,4,4,36
37,S00037,2,10,37
38,S00038,7,8,38
39,S00039,7,9,39
40,S00040,8,9,40
41,S00041,9,2,41
42,S00042,6,9,42
43,S00043,3,8,43
44,S00044,5,9,44
45,S00045,3,9,45
46,S00046,10,3,46
47,S00047,9,5,47
48,S00048,5,3,48
49,S00049,7,6,49
50,S00050,10,10,50
51,S00051,7,5,51
52,S00052,7,2,52
53,S00053,10,3,53
54,S00054,4,7,54
55,S00055,4,10,55
56,S00056,3,10,56
57,S00057,4,5,57
58,S00058,9,3,58
59,S00059,5,4,59
60,S00060,6,6,60
61,S00061,4,8,61
62,S00062,1,7,62
63,S00063,7,3,63
64,S00064,7,2,64
65,S00065,6,3,65
66,S00066,4,5,66
67,S00067,10,7,67
68,S00068,8,8,68
69,S00069,8,6,69
70,S00070,1,2,70
71,S00071,9,2,71
72,S00072,8,10,72
73,S00073,2,5,73
74,S00074,9,5,74
75,S00075,4,1,75
76,S00076,10,1,76
77,S00077,6,9,77
78,S00078,2,7,78
79,S00079,10,8,79
80,S00080,4,5,80
81,S00081,2,3,81
82,S00082,9,3,82
83,S00083,9,3,83
84,S00084,5,1,84
85,S00085,3,3,85
86,S00086,3,2,86
87,S00087,1,8,87
88,S00088,8,10,88
89,S00089,3,10,89
90,S00090,4,6,90
