1,S00001,27200,4,Entry,7
2,S00002,25000,1,Mid,7
3,S00003,42400,9,Entry,7
4,S00004,57400,7,Mid,5
5,S00005,47600,9,Entry,2
6,S00006,68400,9,Entry,8
7,S00007,55500,7,Mid,3
8,S00008,38000,2,Entry,3
9,S00009,68900,2,Entry,2
10,S00010,58900,4,Senior,2
11,S00011,26300,9,Entry,2
12,S00012,35100,7,Mid,6
13,S00013,42600,9,Senior,8
14,S00014,76500,4,Entry,3
15,S00015,61100,9,Entry,6
16,S00016,34500,7,Senior,3
17,S00017,97500,8,Mid,9
18,S00018,61800,1,Senior,1
19,S00019,32200,9,Entry,7
20,S00020,45500,8,Senior,8
21,S00021,42200,1,Entry,9
22,S00022,37400,8,Senior,5
23,S00023,69500,5,Senior,6
24,S00024,48100,3,Mid,5
25,S00025,63900,8,Mid,10
26,S00026,48100,3,Entry,5
27,S00027,44600,8,Entry,7
28,S00028,41000,5,Entry,4
29,S00029,50300,8,Mid,6
30,S00030,38300,3,Executive,4
31,S00031,49500,10,Senior,2
32,S00032,41500,6,Entry,2
33,S00033,29800,6,Mid,4
34,S00034,44600,4,Entry,5
35,S00035,25000,5,Entry,1
36,S00036,70300,7,Entry,3
37,S00037,57500,1,Executive,5
38,S00038,43000,8,Entry,8
39,S00039,25000,3,Entry,4
40,S00040,50200,7,Entry,6
41,S00041,53400,9,Mid,4
42,S00042,56300,2,Entry,5
43,S00043,38400,10,Senior,7
44,S00044,53200,10,Entry,8
45,S00045,78700,7,Entry,10
46,S00046,42200,1,Mid,10
47,S00047,65500,5,Entry,8
48,S00048,49800,7,Mid,7
49,S00049,47900,5,Mid,4
50,S00050,52000,5,Mid,4
51,S00051,42000,6,Senior,2
52,S00052,52100,10,Senior,9
53,S00053,64500,10,Mid,6
54,S00054,63500,6,Executive,3
55,S00055,67200,10,Entry,3
56,S00056,40600,2,Senior,1
57,S00057,50900,10,Entry,2
58,S00058,82700,10,Entry,5
59,S00059,35400,9,Senior,9
60,S00060,48300,3,Entry,3
61,S00061,31800,1,Entry,7
62,S00062,51600,1,Entry,6
63,S00063,65600,9,Entry,3
64,S00064,75700,6,Entry,4
65,S00065,35000,7,Entry,5
66,S00066,37600,2,Mid,2
67,S00067,73700,1,Mid,8
68,S00068,25000,2,Mid,7
69,S00069,40400,3,Entry,9
70,S00070,64600,3,Senior,8
71,S00071,25000,8,Entry,7
72,S00072,34300,4,Entry,9
73,S00073,68900,1,Senior,10
74,S00074,25000,2,Mid,5
75,S00075,25000,9,Executive,3
76,S00076,62600,2,Entry,6
77,S00077,74400,9,Mid,9
78,S00078,71500,5,Entry,6
79,S00079,25000,4,Senior,3
80,S00080,71900,4,Entry,2
81,S00081,51200,3,Entry,5
82,S00082,37900,2,Entry,8
83,S00083,36000,8,Mid,8
84,S00084,60500,6,Entry,1
85,S00085,56600,9,Executive,3
86,S00086,71100,2,Senior,5
87,S00087,40600,1,Senior,1
88,S00088,42700,8,Senior,6
89,S00089,62100,8,Senior,4
90,S00090,38100,5,Senior,9
91,S00091,62300,2,Senior,2
92,S00092,33300,10,Senior,10
93,S00093,80600,5,Entry,5
94,S00094,79900,8,Entry,5
95,S00095,39000,4,Mid,6
96,S00096,50900,2,Entry,5
97,S00097,51800,3,Entry,10
98,S00098,48000,3,Mid,10
99,S00099,35000,9,Mid,9
100,S00100,51600,3,Mid,1
101,S00101,27800,1,Executive,8
102,S00102,73000,7,Mid,6
103,S00103,74000,1,Entry,9
104,S00104,70200,6,Entry,10
105,S00105,71300,10,Entry,7
106,S00106,61100,4,Entry,3
107,S00107,36400,7,Entry,8
108,S00108,30300,7,Entry,10
109,S00109,33900,7,Senior,3
