S00001,24,Male,1,1,1
S00002,21,Other,2,2,2
S00003,28,Female,3,3,3
S00004,25,Male,4,4,4
S00005,22,Male,5,5,5
S00006,24,Male,6,6,6
S00007,27,Male,7,7,7
S00008,20,Male,8,8,8
S00009,24,Male,9,9,9
S00010,28,Male,10,10,10
S00011,28,Female,11,11,11
S00012,25,Female,12,12,12
S00013,22,Female,13,13,13
S00014,21,Male,14,14,14
S00015,25,Male,15,15,15
S00016,25,Female,16,16,16
S00017,20,Female,17,17,17
S00018,23,Male,18,18,18
S00019,22,Female,19,19,19
S00020,19,Female,20,20,20
S00021,25,Female,21,21,21
S00022,29,Male,22,22,22
S00023,23,Female,23,23,23
S00024,19,Female,24,24,24
S00025,29,Female,25,25,25
S00026,22,Female,26,26,26
S00027,18,Female,27,27,27
S00028,29,Female,28,28,28
S00029,27,Male,29,29,29
S00030,23,Female,30,30,30
S00031,29,Female,31,31,31
S00032,26,Female,32,32,32
S00033,18,Male,33,33,33
S00034,28,Male,34,34,34
S00035,28,Female,35,35,35
S00036,27,Female,36,36,36
S00037,29,Female,37,37,37
S00038,29,Female,38,38,38
S00039,20,Female,39,39,39
S00040,29,Female,40,40,40
S00041,24,Female,41,41,41
S00042,21,Female,42,42,42
S00043,26,Female,43,43,43
S00044,20,Male,44,44,44
S00045,22,Male,45,45,45
S00046,20,Female,46,46,46
S00047,24,Male,47,47,47
S00048,22,Male,48,48,48
S00049,26,Male,49,49,49
S00050,24,Male,50,50,50
S00051,19,Male,51,51,51
S00052,21,Male,52,52,52
S00053,26,Female,53,53,53
S00054,29,Female,54,54,54
S00055,19,Male,55,55,55
S00056,27,Male,56,56,56
S00057,26,Female,57,57,57
S00058,27,Male,58,58,58
S00059,22,Female,59,59,59
S00060,19,Female,60,60,60
S00061,21,Female,61,61,61
S00062,29,Male,62,62,62
S00063,29,Female,63,63,63
S00064,24,Male,64,64,64
S00065,29,Female,65,65,65
S00066,25,Female,66,66,66
S00067,20,Male,67,67,67
S00068,18,Male,68,68,68
S00069,21,Male,69,69,69
S00070,19,Female,70,70,70
S00071,25,Male,71,71,71
S00072,21,Female,72,72,72
S00073,19,Male,73,73,73
S00074,23,Female,74,74,74
S00075,23,Female,75,75,75
S00076,27,Female,76,76,76
S00077,21,Female,77,77,77
S00078,23,Male,78,78,78
S00079,19,Male,79,79,79
S00080,27,Female,80,80,80
S00081,29,Male,81,81,81
S00082,19,Male,82,82,82
S00083,27,Male,83,83,83
S00084,21,Male,84,84,84
S00085,25,Male,85,85,85
S00086,24,Female,86,86,86
S00087,29,Male,87,87,87
S00088,26,Female,88,88,88
S00089,25,Male,89,89,89
S00090,22,Female,90,90,90
S00091,19,Male,91,91,91
S00092,22,Female,92,92,92
S00093,25,Female,93,93,93
S00094,27,Male,94,94,94
S00095,26,Female,95,95,95
S00096,29,Other,96,96,96
S00097,29,Female,97,97,97
S00098,29,Female,98,98,98
S00099,26,Male,99,99,99
S00100,18,Female,100,100,100
S00101,26,Male,101,101,101
S00102,24,Male,102,102,102
S00103,26,Other,103,103,103
S00104,25,Male,104,104,104
S00105,18,Female,105,105,105
S00106,29,Female,106,106,106
S00107,25,Female,107,107,107
S00108,25,Other,108,108,108
S00109,28,Male,109,109,109
S00110,20,Male,110,110,110
S00111,18,Male,111,111,111
S00112,25,Male,112,112,112
S00113,20,Male,113,113,113
S00114,20,Male,114,114,114
S00115,18,Female,115,115,115
S00116,28,Female,116,116,116
S00117,22,Male,117,117,117
S00118,27,Female,118,118,118
S00119,24,Male,119,119,119
S00120,27,Male,120,120,120
S00121,26,Female,121,121,121
S00122,29,Female,122,122,122
S00123,24,Female,123,123,123
S00124,26,Male,124,124,124
S00125,25,Female,125,125,125
S00126,29,Female,126,126,126
S00127,19,Female,127,127,127
S00128,18,Female,128,128,128
S00129,24,Female,129,129,129
S00130,24,Female,130,130,130
S00131,25,Female,131,131,131
S00132,22,Other,132,132,132
S00133,20,Female,133,133,133
S00134,29,Male,134,134,134
S00135,25,Female,135,135,135
S00136,23,Male,136,136,136
S00137,28,Male,137,137,137
S00138,20,Female,138,138,138
S00139,18,Female,139,139,139
S00140,20,Female,140,140,140
S00141,22,Male,141,141,141
S00142,20,Female,142,142,142
S00143,18,Male,143,143,143
S00144,22,Other,144,144,144
S00145,27,Other,145,145,145
S00146,24,Female,146,146,146
S00147,24,Female,147,147,147
S00148,28,Female,148,148,148
S00149,26,Female,149,149,149
S00150,27,Male,150,150,150
S00151,27,Male,151,151,151
S00152,29,Female,152,152,152
S00153,20,Female,153,153,153
S00154,24,Male,154,154,154
S00155,18,Female,155,155,155
S00156,21,Male,156,156,156
S00157,21,Female,157,157,157
S00158,22,Female,158,158,158
S00159,24,Female,159,159,159
S00160,24,Female,160,160,160
S00161,28,Male,161,161,161
S00162,21,Male,162,162,162
S00163,24,Female,163,163,163
S00164,28,Female,164,164,164
S00165,20,Male,165,165,165
S00166,23,Female,166,166,166
S00167,29,Male,167,167,167
S00168,19,Female,168,168,168
S00169,27,Female,169,169,169
S00170,26,Male,170,170,170
S00171,22,Male,171,171,171
S00172,23,Female,172,172,172
S00173,29,Female,173,173,173
S00174,29,Female,174,174,174
S00175,29,Female,175,175,175
S00176,29,Female,176,176,176
S00177,21,Other,177,177,177
