1,7,2,5,5
2,7,3,1,4
3,8,1,3,0
4,9,1,5,1
5,6,4,5,4
6,3,2,2,1
7,1,3,4,2
8,5,5,3,2
9,3,0,2,2
10,5,3,2,0
11,7,5,1,5
12,2,3,4,5
13,0,5,4,2
14,4,3,3,2
15,2,3,3,1
16,5,2,4,3
17,2,3,5,3
18,0,5,5,5
19,8,5,2,5
20,4,1,4,2
21,1,5,2,5
22,1,1,5,3
23,8,5,3,2
24,0,3,4,2
25,9,5,1,0
26,2,1,2,4
27,9,2,4,3
28,6,0,1,2
29,0,3,2,3
30,1,5,5,0
31,5,1,2,0
32,8,1,3,2
33,8,2,2,3
34,7,5,2,3
35,2,2,4,3
36,1,0,4,0
37,0,5,5,1
38,8,4,3,1
39,4,4,3,3
40,2,5,5,3
41,9,4,1,4
42,9,0,2,2
43,4,3,4,0
44,2,4,5,4
45,8,4,5,3
46,0,5,4,5
47,0,1,4,1
48,2,1,1,1
49,5,3,3,4
50,1,5,4,1
51,0,2,5,1
52,7,0,2,5
53,9,4,1,2
54,8,5,2,3
55,9,5,2,4
56,0,0,3,5
57,2,1,2,0
58,4,0,5,0
59,6,1,5,5
60,9,0,4,3
61,3,1,3,0
62,5,0,4,5
63,0,4,2,1
64,3,4,5,2
65,7,3,4,4
66,4,0,5,4
67,7,2,4,1
68,0,3,1,3
69,9,0,3,2
70,8,2,4,0
71,3,4,2,4
72,8,4,5,4
73,7,5,5,3
74,7,4,3,2
75,1,5,3,5
76,2,2,1,0
77,9,1,4,4
78,8,0,1,4
79,2,3,4,0
80,7,5,4,2
81,4,3,3,2
82,6,4,3,2
83,3,1,4,4
84,7,5,3,5
85,3,0,4,1
86,4,5,3,4
87,0,0,2,3
88,9,3,4,3
89,7,3,5,5
90,6,3,2,4
91,4,0,1,4
92,5,5,3,0
93,0,3,1,2
94,7,0,5,5
95,8,4,3,0
96,4,5,1,5
97,9,5,2,3
98,6,5,1,3
99,9,1,3,1
100,3,3,2,2
101,5,0,5,2
102,1,4,1,5
103,3,2,4,3
104,4,4,3,0
105,8,1,4,4
106,8,4,4,2
107,7,3,1,4
108,3,3,4,3
109,5,2,2,1
110,6,5,5,3
111,0,0,5,4
112,0,4,4,3
113,3,2,3,2
114,2,3,4,5
115,9,5,3,5
116,3,0,5,4
117,8,0,2,4
118,1,1,3,1
119,3,5,5,2
120,6,3,1,0
121,1,0,4,1
122,7,1,3,2
123,9,1,2,5
124,3,3,4,0
125,8,0,5,5
126,0,5,5,4
127,6,0,5,5
128,0,4,3,1
129,9,0,1,4
130,8,1,1,4
131,9,2,5,4
132,9,3,4,2
133,0,2,2,0
134,2,0,4,2
135,6,5,3,4
136,0,5,1,1
137,4,1,2,5
138,5,2,5,4
139,2,3,5,0
140,5,4,3,2
141,3,2,3,0
142,5,5,3,2
143,5,4,3,5
144,3,5,5,0
145,0,0,5,0
146,2,0,3,2
147,9,3,5,2
148,6,4,3,2
149,1,4,2,3
150,3,3,3,5
151,5,5,3,0
152,4,2,2,3
153,5,3,1,3
154,4,0,4,4
155,8,4,3,3
156,1,1,2,3
157,3,5,2,2
158,0,1,5,2
159,6,0,3,1
160,0,4,2,5
161,5,4,1,0
162,9,3,1,5
163,9,2,4,3
164,8,3,5,3
165,1,1,5,0
166,0,4,5,5
167,9,2,3,2
168,2,3,1,2
169,5,2,3,0
170,6,5,2,0
171,7,5,4,2
172,3,1,4,0
173,7,2,3,5
174,6,5,4,2
175,7,4,3,0
176,4,5,5,2
177,9,2,2,1
178,6,2,5,2
179,3,3,4,2
180,0,2,2,3
181,2,2,1,5
182,9,1,3,2
183,8,2,2,0
184,3,3,3,4
185,4,3,2,0
186,2,4,4,3
187,5,5,5,0
188,3,1,4,1
189,4,0,1,4
190,6,4,4,4
191,6,2,2,5
192,8,5,1,3
193,1,1,2,5
194,3,4,5,4
195,7,3,3,2
196,3,1,5,3
197,2,1,5,5
198,9,2,5,1
199,5,1,2,4
200,2,5,3,4
201,1,5,2,3
202,8,1,1,4
203,2,0,2,4
204,0,2,5,1
205,8,1,4,1
206,4,1,4,3
207,6,0,2,4
208,1,0,5,5
209,0,3,5,0
210,5,2,4,3
211,4,0,3,5
212,9,1,3,1
213,5,0,5,0
214,1,4,1,5
215,6,3,1,5
216,0,3,1,4
217,7,5,1,3
218,6,2,1,3
219,6,3,4,1
220,5,2,5,2
221,9,4,2,2
222,4,5,4,2
223,8,1,4,3
224,2,4,5,1
225,8,2,3,1
226,4,2,4,2
227,7,2,4,0
228,2,1,2,2
229,6,5,1,3
230,9,5,4,0
231,3,2,1,1
232,4,4,5,4
